#Assay	Cell	Target	Treatment	Identifier	N_uniq map reads	MACS FDR 0.01	Self Cons IDR 0.02	Rep Cons IDR 0.01	SPOT	PBC	NSC	RSC	Under seq	Diff rep	Manual low S/N	Auto low S/N	Revoke flag
TF-ChIP-seq	GM18505	NFKB	None	wgEncodeSydhTfbsGm18505NfkbIggrabAlnRep4	5597685	72603	1622	2595	0.0156	0.99	1.07	0.55	1	0	1	1	
TF-ChIP-seq	GM18505	NFKB	None	wgEncodeSydhTfbsGm18505NfkbIggrabAlnRep5	9622083	13254	4931	4415	0.0306	0.98	1.08	0.77	0	0	1	1	
TF-ChIP-seq	GM18505	POL2	None	wgEncodeSydhTfbsGm18505Pol2IggmusAlnRep1	9010293	16579	14836	14097	0.3184	0.94	2.11	1.38	0	0	0	0	
TF-ChIP-seq	GM18505	POL2	None	wgEncodeSydhTfbsGm18505Pol2IggmusAlnRep2	5572810	17431	15131	14097	0.4736	0.91	2.66	1.59	1	0	0	0	
TF-ChIP-seq	GM18505	POL2	None	wgEncodeSydhTfbsGm18505Pol2IggmusAlnRep3	5311216	28809	15154	14131	0.2486	0.97	1.88	1.13	1	1	0	0	
TF-ChIP-seq	GM18505	POL2	None	wgEncodeSydhTfbsGm18505Pol2IggmusAlnRep4	13321185	17755	15609	14131	0.2658	0.96	1.58	1.36	0	0	0	0	
TF-ChIP-seq	GM18526	NFKB	None	wgEncodeSydhTfbsGm18526NfkbIggrabAlnRep1	10202389	4108	2117	2103	0.0087	0.99	1.04	0.51	0	0	1	1	
TF-ChIP-seq	GM18526	NFKB	None	wgEncodeSydhTfbsGm18526NfkbIggrabAlnRep2	7905329	5531	1791	3032	0.0075	0.99	1.04	0.42	1	0	1	1	
TF-ChIP-seq	GM18526	NFKB	None	wgEncodeSydhTfbsGm18526NfkbIggrabAlnRep3	4911064	24665	2227	3032	0.0173	0.99	1.09	0.55	1	0	1	0	
TF-ChIP-seq	GM18526	POL2	None	wgEncodeSydhTfbsGm18526Pol2IggmusAlnRep1	3630061	31327	12332	14698	0.4154	0.96	2.97	1.56	1	0	0	0	
TF-ChIP-seq	GM18526	POL2	None	wgEncodeSydhTfbsGm18526Pol2IggmusAlnRep2	3880784	42822	14027	16058	0.3185	0.96	2.35	1.24	1	0	0	0	
TF-ChIP-seq	GM18526	POL2	None	wgEncodeSydhTfbsGm18526Pol2IggmusAlnRep3	4364722	44887	17038	16058	0.4157	0.95	3.33	1.17	1	0	0	0	
TF-ChIP-seq	GM18951	NFKB	None	wgEncodeSydhTfbsGm18951NfkbIggrabAlnRep1	4276956	41051	2852	6136	0.0214	0.98	1.12	0.59	1	1	1	0	
TF-ChIP-seq	GM18951	NFKB	None	wgEncodeSydhTfbsGm18951NfkbIggrabAlnRep2	13922604	20808	15110	12792	0.0932	0.97	1.20	1.13	0	0	0	0	
TF-ChIP-seq	GM18951	NFKB	None	wgEncodeSydhTfbsGm18951NfkbIggrabAlnRep3	5846551	3	1367	926	0.0103	0.98	1.06	0.59	1	1	1	1	
TF-ChIP-seq	GM18951	NFKB	None	wgEncodeSydhTfbsGm18951NfkbIggrabAlnRep4	9635108	15378	6983	12792	0.0470	0.98	1.12	0.92	0	0	0	0	
TF-ChIP-seq	GM18951	POL2	None	wgEncodeSydhTfbsGm18951Pol2IggmusAlnRep1	3094683	46441	13522	16497	0.5025	0.88	3.33	1.55	1	0	0	0	
TF-ChIP-seq	GM18951	POL2	None	wgEncodeSydhTfbsGm18951Pol2IggmusAlnRep2	5647968	22335	15299	17873	0.4283	0.95	2.81	1.42	1	0	0	0	
TF-ChIP-seq	GM18951	POL2	None	wgEncodeSydhTfbsGm18951Pol2IggmusAlnRep3	7316211	17714	19455	17873	0.4723	0.95	2.70	1.48	1	0	0	0	
TF-ChIP-seq	GM18951	POL2	None	wgEncodeSydhTfbsGm18951Pol2IggmusAlnRep4	4193022	72644	16069	15449	0.3178	0.95	2.67	1.15	1	0	0	0	
TF-ChIP-seq	GM19099	NFKB	None	wgEncodeSydhTfbsGm19099NfkbIggrabAlnRep1	10403543	18976	6265	9680	0.0332	0.99	1.10	0.81	0	0	0	0	
TF-ChIP-seq	GM19099	NFKB	None	wgEncodeSydhTfbsGm19099NfkbIggrabAlnRep2	16479358	23432	15968	14894	0.0933	0.97	1.23	1.23	0	0	0	0	
TF-ChIP-seq	GM19099	NFKB	None	wgEncodeSydhTfbsGm19099NfkbIggrabAlnRep3	7174500	30136	13128	14894	0.0883	0.98	1.18	0.91	1	0	0	0	
TF-ChIP-seq	GM19099	POL2	None	wgEncodeSydhTfbsGm19099Pol2IggmusAlnRep1	5831726	29349	16056	16903	0.4283	0.92	2.89	1.27	1	0	0	0	
TF-ChIP-seq	GM19099	POL2	None	wgEncodeSydhTfbsGm19099Pol2IggmusAlnRep2	4789154	28733	16422	16903	0.4906	0.9	3.52	1.3	1	0	0	0	
TF-ChIP-seq	GM19099	POL2	None	wgEncodeSydhTfbsGm19099Pol2IggmusAlnRep3	14074270	21147	16529	14586	0.2513	0.96	1.49	1.3	0	0	0	0	
TF-ChIP-seq	GM19193	NFKB	None	wgEncodeSydhTfbsGm19193NfkbIggrabAlnRep1	11175497	6563	2416	4480	0.0113	0.97	1.06	0.55	0	0	0	1	
TF-ChIP-seq	GM19193	NFKB	None	wgEncodeSydhTfbsGm19193NfkbIggrabAlnRep2	15818671	16748	7890	4480	0.0495	0.97	1.12	0.97	0	0	0	0	
TF-ChIP-seq	GM19193	NFKB	None	wgEncodeSydhTfbsGm19193NfkbIggrabAlnRep3	5499223	36647	6307	4078	0.0534	0.99	1.29	0.97	1	0	0	0	
TF-ChIP-seq	GM19193	POL2	None	wgEncodeSydhTfbsGm19193Pol2IggmusAlnRep1	3502490	38979	12704	14773	0.3673	0.94	2.53	1.65	1	0	0	0	
TF-ChIP-seq	GM19193	POL2	None	wgEncodeSydhTfbsGm19193Pol2IggmusAlnRep2	6397476	20981	18062	18667	0.4496	0.91	2.33	1.62	1	0	0	0	
TF-ChIP-seq	GM19193	POL2	None	wgEncodeSydhTfbsGm19193Pol2IggmusAlnRep3	7754106	22513	18000	18667	0.3647	0.94	1.97	1.6	1	0	0	0	
TF-ChIP-seq	GM19193	POL2	None	wgEncodeSydhTfbsGm19193Pol2IggmusAlnRep4	4123393	65753	15902	14165	0.3533	0.96	2.44	1.22	1	0	0	0	
TF-ChIP-seq	H1-hESC	ATF3	None	wgEncodeHaibTfbsH1hescAtf3Pcr1xAlnRep1	13544969	11	3346	3531	0.0163	0.89	1.12	1.3	0	0	0	0	
TF-ChIP-seq	H1-hESC	ATF3	None	wgEncodeHaibTfbsH1hescAtf3V0416102AlnRep2	10033687	189355	3475	3531	0.0204	0.93	1.17	1.54	0	0	0	0	
TF-ChIP-seq	H1-hESC	BCL11A	None	wgEncodeHaibTfbsH1hescBcl11aPcr1xAlnRep1	12000688	2	1904	2125	0.0103	0.95	1.06	0.67	0	0	0	1	R
TF-ChIP-seq	H1-hESC	BCL11A	None	wgEncodeHaibTfbsH1hescBcl11aPcr1xAlnRep2	14014243	0	2834	2297	0.0150	0.83	1.12	1.62	0	0	0	0	
TF-ChIP-seq	H1-hESC	BCL11A	None	wgEncodeHaibTfbsH1hescBcl11aV0416102AlnRep3	13741862	0	2329	2297	0.0142	0.88	1.08	1.03	0	0	0	0	D
TF-ChIP-seq	H1-hESC	BCL3	None	wgEncodeHaibTfbsH1hescBcl3Pcr1xAlnRep1	12865747	2	1025	926	0.0111	0.96	1.04	0.53	0	0	0	1	R
TF-ChIP-seq	H1-hESC	BCL3	None	wgEncodeHaibTfbsH1hescBcl3Pcr1xAlnRep2	14386305	12	2526	926	0.0152	0.91	1.08	1.19	0	0	0	0	R
TF-ChIP-seq	H1-hESC	CJUN	None	wgEncodeSydhTfbsH1hescCjunIggrabAlnRep1	20214809	76	1915	1559	0.0068	0.82	1.05	1.12	0	0	0	0	
TF-ChIP-seq	H1-hESC	CJUN	None	wgEncodeSydhTfbsH1hescCjunIggrabAlnRep2	21383405	5	1267	1559	0.0043	0.88	1.04	0.92	0	1	1	0	
TF-ChIP-seq	H1-hESC	CTBP2	None	wgEncodeSydhTfbsH1hescCtbp2UcdAlnRep1	9915571	19380	9253	4938	0.0788	0.69	1.09	1.41	0	0	0	0	
TF-ChIP-seq	H1-hESC	CTBP2	None	wgEncodeSydhTfbsH1hescCtbp2UcdAlnRep2	6597517	37187	6229	4938	0.0451	0.98	1.08	0.67	1	1	1	1	
TF-ChIP-seq	H1-hESC	CTCF	None	wgEncodeBroadHistoneH1hescCtcfStdAlnRep1	14572976	85372	49934	50106	0.2053	0.82	2.17	2.89	0	0	0	0	
TF-ChIP-seq	H1-hESC	CTCF	None	wgEncodeBroadHistoneH1hescCtcfStdAlnRep2	14195041	79652	61097	50106	0.4292	0.88	4.57	3.3	0	0	0	0	
TF-ChIP-seq	H1-hESC	CTCF	None	wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep1	22329466	63938	68109	37602	0.3503	0.68	3.89	2.41	0	0	0	0	
TF-ChIP-seq	H1-hESC	CTCF	None	wgEncodeHaibTfbsH1hescCtcfsc5916V0416102AlnRep2	52039748	23	36578	37602	0.1152	0.77	1.25	2.15	0	0	0	0	
TF-ChIP-seq	H1-hESC	EGR1	None	wgEncodeHaibTfbsH1hescEgr1V0416101AlnRep1	20752997	1	4106	6329	0.0136	0.92	1.05	1.26	0	1	0	0	R
TF-ChIP-seq	H1-hESC	EGR1	None	wgEncodeHaibTfbsH1hescEgr1V0416101AlnRep2	19660520	31	10241	6329	0.0424	0.95	1.09	1.26	0	0	0	0	R
TF-ChIP-seq	H1-hESC	EGR1	None	wgEncodeHaibTfbsH1hescEgr1V0416102AlnRep1	20752307	1	4177	6331	0.0137	0.92	1.05	1.26	0	1	0	0	D
TF-ChIP-seq	H1-hESC	EGR1	None	wgEncodeHaibTfbsH1hescEgr1V0416102AlnRep2	19659888	31	10376	6331	0.0427	0.95	1.09	1.26	0	0	0	0	D
TF-ChIP-seq	H1-hESC	GABP	None	wgEncodeHaibTfbsH1hescGabpPcr1xAlnRep1	23411403	55	20093	11341	0.0986	0.98	1.14	1.53	0	0	0	0	
TF-ChIP-seq	H1-hESC	GABP	None	wgEncodeHaibTfbsH1hescGabpPcr1xAlnRep2	11480863	0	6635	11341	0.0419	0.77	1.10	1.3	0	1	0	0	
TF-ChIP-seq	H1-hESC	HDAC2	None	wgEncodeHaibTfbsH1hescHdac2sc6296V0416102AlnRep1	21062233	1	6237	8849	0.0256	0.84	1.08	1.58	0	0	0	0	
TF-ChIP-seq	H1-hESC	HDAC2	None	wgEncodeHaibTfbsH1hescHdac2sc6296V0416102AlnRep2	23290523	0	13743	8849	0.0476	0.76	1.11	1.97	0	0	0	0	
TF-ChIP-seq	H1-hESC	JUND	None	wgEncodeHaibTfbsH1hescJundV0416102AlnRep1	19972940	2	5609	6928	0.0265	0.86	1.08	1.49	0	1	0	0	
TF-ChIP-seq	H1-hESC	JUND	None	wgEncodeHaibTfbsH1hescJundV0416102AlnRep2	35341577	35	23865	6928	0.0972	0.39	1.26	1.92	0	0	0	0	
TF-ChIP-seq	H1-hESC	MAX	None	wgEncodeSydhTfbsH1hescMaxUcdAlnRep1	7959835	22681	13719	12513	0.0814	0.98	1.30	1.45	1	0	0	0	
TF-ChIP-seq	H1-hESC	MAX	None	wgEncodeSydhTfbsH1hescMaxUcdAlnRep2	6941933	7854	7559	12513	0.0411	0.98	1.15	1.27	1	0	0	0	
TF-ChIP-seq	H1-hESC	NANOG	None	wgEncodeHaibTfbsH1hescNanogsc33759V0416102AlnRep1	11658561	17	5138	2900	0.0295	0.93	1.13	1.25	0	1	0	0	
TF-ChIP-seq	H1-hESC	NANOG	None	wgEncodeHaibTfbsH1hescNanogsc33759V0416102AlnRep2	25983594	289687	34253	2900	0.1190	0.22	1.45	2.09	0	0	0	0	
TF-ChIP-seq	H1-hESC	NRF1	None	wgEncodeSydhTfbsH1hescNrf1IggrabAlnRep1	20585772	3197	3746	4002	0.0167	0.88	1.09	1.32	0	0	0	0	
TF-ChIP-seq	H1-hESC	NRF1	None	wgEncodeSydhTfbsH1hescNrf1IggrabAlnRep2	23913285	3854	4717	4002	0.0259	0.91	1.14	1.47	0	0	0	0	
TF-ChIP-seq	H1-hESC	NRSF	None	wgEncodeHaibTfbsH1hescNrsfPcr1xAlnRep1	15153099	32211	13798	14427	0.2329	0.91	2.25	1.94	0	0	0	0	R
TF-ChIP-seq	H1-hESC	NRSF	None	wgEncodeHaibTfbsH1hescNrsfPcr1xAlnRep2	20842565	56708	21580	14427	0.2537	0.9	1.88	1.27	0	0	0	0	R
TF-ChIP-seq	H1-hESC	NRSF	None	wgEncodeHaibTfbsH1hescNrsfV0416102AlnRep1	15153099	32211	13473	14426	0.2324	0.91	2.25	1.94	0	0	0	0	D
TF-ChIP-seq	H1-hESC	NRSF	None	wgEncodeHaibTfbsH1hescNrsfV0416102AlnRep2	20842565	56708	22448	14426	0.2552	0.9	1.88	1.27	0	0	0	0	D
TF-ChIP-seq	H1-hESC	P300	None	wgEncodeHaibTfbsH1hescP300Pcr1xAlnRep2	19227506	0	11134	7126	0.0461	0.95	1.10	1.18	0	0	0	0	
TF-ChIP-seq	H1-hESC	P300	None	wgEncodeHaibTfbsH1hescP300V0416102AlnRep1	12676775	12	2946	7126	0.0164	0.86	1.10	1.14	0	0	0	0	
TF-ChIP-seq	H1-hESC	POL2	None	wgEncodeHaibTfbsH1hescPol2Pcr1xAlnRep1	22378649	42484	27700	17354	0.3407	0.82	1.24	1.5	0	0	0	0	R
TF-ChIP-seq	H1-hESC	POL2	None	wgEncodeHaibTfbsH1hescPol2Pcr1xAlnRep2	20945779	81527	30320	17354	0.2787	0.94	1.45	0.89	0	0	0	0	R
TF-ChIP-seq	H1-hESC	POL2	None	wgEncodeHaibTfbsH1hescPol2V0416102AlnRep1	22378649	42484	27560	17338	0.3403	0.82	1.24	1.5	0	0	0	0	D
TF-ChIP-seq	H1-hESC	POL2	None	wgEncodeHaibTfbsH1hescPol2V0416102AlnRep2	20945779	81527	30305	17338	0.2787	0.94	1.45	0.89	0	0	0	0	D
TF-ChIP-seq	H1-hESC	POL24H8	None	wgEncodeHaibTfbsH1hescPol24h8Pcr1xAlnRep1	18887848	86853	28685	22635	0.2999	0.94	1.29	1.2	0	0	0	0	R
TF-ChIP-seq	H1-hESC	POL24H8	None	wgEncodeHaibTfbsH1hescPol24h8Pcr1xAlnRep2	22159352	193394	40462	22635	0.3180	0.92	1.64	1.09	0	0	0	0	R
TF-ChIP-seq	H1-hESC	POL24H8	None	wgEncodeHaibTfbsH1hescPol24h8V0416102AlnRep1	18887848	86853	28633	22632	0.2997	0.94	1.29	1.2	0	0	0	0	D
TF-ChIP-seq	H1-hESC	POL24H8	None	wgEncodeHaibTfbsH1hescPol24h8V0416102AlnRep2	22159352	193394	39898	22632	0.3164	0.92	1.64	1.09	0	0	0	0	D
TF-ChIP-seq	H1-hESC	POU5F1	None	wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102AlnRep1	12736517	276321	5122	2187	0.0248	0.78	1.14	1.57	0	0	0	0	
TF-ChIP-seq	H1-hESC	POU5F1	None	wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102AlnRep2	24135512	0	7553	2187	0.0164	0.64	1.13	3.07	0	0	0	0	
TF-ChIP-seq	H1-hESC	RAD21	None	wgEncodeHaibTfbsH1hescRad21V0416102AlnRep1	15562546	74847	84772	69711	0.4621	0.89	6.57	2.89	0	0	0	0	
TF-ChIP-seq	H1-hESC	RAD21	None	wgEncodeHaibTfbsH1hescRad21V0416102AlnRep2	45443298	76387	87090	69711	0.4576	0.64	3.68	2.47	0	0	0	0	
TF-ChIP-seq	H1-hESC	RAD21	None	wgEncodeSydhTfbsH1hescRad21IggrabAlnRep1	15808400	71144	45052	50114	0.2034	0.96	2.16	2.29	0	0	0	0	
TF-ChIP-seq	H1-hESC	RAD21	None	wgEncodeSydhTfbsH1hescRad21IggrabAlnRep2	21725810	86645	54791	50114	0.3202	0.92	3.50	2.62	0	0	0	0	
TF-ChIP-seq	H1-hESC	RFX5	None	wgEncodeSydhTfbsH1hescRfx5n494IggrabAlnRep1	16837419	325	1330	1130	0.0111	0.94	1.06	1.02	0	1	0	0	
TF-ChIP-seq	H1-hESC	RFX5	None	wgEncodeSydhTfbsH1hescRfx5n494IggrabAlnRep2	27373336	4956	2669	1130	0.0228	0.95	1.05	1.14	0	0	0	0	
TF-ChIP-seq	H1-hESC	RXRA	None	wgEncodeHaibTfbsH1hescRxraV0416102AlnRep1	25361060	1	818	1080	0.0065	0	1.04	0.57	0	0	0	1	
TF-ChIP-seq	H1-hESC	RXRA	None	wgEncodeHaibTfbsH1hescRxraV0416102AlnRep2	9604339	212387	5685	1080	0.0251	0.57	1.32	2.11	1	1	0	0	R
TF-ChIP-seq	H1-hESC	SIN3A	None	wgEncodeHaibTfbsH1hescSin3ak20Pcr1xAlnRep1	12069373	29091	15030	8422	0.1094	0.94	1.15	1.01	0	0	0	0	
TF-ChIP-seq	H1-hESC	SIN3A	None	wgEncodeHaibTfbsH1hescSin3ak20Pcr1xAlnRep2	14868119	14	6305	8422	0.0358	0.89	1.12	1.29	0	0	0	0	
TF-ChIP-seq	H1-hESC	SIX5	None	wgEncodeHaibTfbsH1hescSix5Pcr1xAlnRep1	12532406	1392	3706	2362	0.0298	0.9	1.27	1.5	0	0	0	0	
TF-ChIP-seq	H1-hESC	SIX5	None	wgEncodeHaibTfbsH1hescSix5Pcr1xAlnRep2	15005865	384	4637	2362	0.0185	0.83	1.14	1.68	0	0	0	0	
TF-ChIP-seq	H1-hESC	SP1	None	wgEncodeHaibTfbsH1hescSp1Pcr1xAlnRep1	14486181	24036	20271	18247	0.1130	0.96	1.30	1.57	0	0	0	0	
TF-ChIP-seq	H1-hESC	SP1	None	wgEncodeHaibTfbsH1hescSp1Pcr1xAlnRep2	13893771	23803	16787	18247	0.0959	0.95	1.28	1.41	0	0	0	0	
TF-ChIP-seq	H1-hESC	SRF	None	wgEncodeHaibTfbsH1hescSrfPcr1xAlnRep1	20534013	17	4762	3340	0.0223	0.79	1.18	2.33	0	0	0	0	
TF-ChIP-seq	H1-hESC	SRF	None	wgEncodeHaibTfbsH1hescSrfPcr1xAlnRep2	14872037	22	4728	3340	0.0273	0.69	1.29	2.15	0	0	0	0	
TF-ChIP-seq	H1-hESC	SUZ12	None	wgEncodeSydhTfbsH1hescSuz12UcdAlnRep1	13884022	2249	4876	2123	0.0389	0.98	1.04	0.53	0	0	1	1	
TF-ChIP-seq	H1-hESC	SUZ12	None	wgEncodeSydhTfbsH1hescSuz12UcdAlnRep2	11264661	1405	1977	2123	0.0157	0.94	1.07	0.97	0	0	1	0	
TF-ChIP-seq	H1-hESC	TAF1	None	wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep1	15114151	36758	22213	20938	0.2617	0.91	1.75	1.4	0	0	0	0	R
TF-ChIP-seq	H1-hESC	TAF1	None	wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep2	14348837	78684	19684	20938	0.1902	0.89	1.59	1.29	0	0	0	0	R
TF-ChIP-seq	H1-hESC	TAF1	None	wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep1	15114151	36758	22735	20949	0.2626	0.91	1.75	1.4	0	0	0	0	D
TF-ChIP-seq	H1-hESC	TAF1	None	wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep2	14348837	78684	19777	20949	0.1904	0.89	1.59	1.29	0	0	0	0	D
TF-ChIP-seq	H1-hESC	TAF7	None	wgEncodeHaibTfbsH1hescTaf7sq8V0416102AlnRep1	13093177	24	6686	8264	0.0407	0.96	1.08	0.84	0	1	0	1	
TF-ChIP-seq	H1-hESC	TAF7	None	wgEncodeHaibTfbsH1hescTaf7sq8V0416102AlnRep2	49999363	8	11222	8264	0.0551	0.73	1.07	1.7	0	0	0	0	
TF-ChIP-seq	H1-hESC	TBP	None	wgEncodeSydhTfbsH1hescTbpStdAlnRep1	21939123	36202	21414	14146	0.1617	0.95	1.29	1.5	0	0	0	0	
TF-ChIP-seq	H1-hESC	TBP	None	wgEncodeSydhTfbsH1hescTbpStdAlnRep2	17828427	21231	11045	14146	0.0853	0.92	1.19	1.44	0	0	0	0	
TF-ChIP-seq	H1-hESC	TCF12	None	wgEncodeHaibTfbsH1hescTcf12Pcr1xAlnRep1	11758756	4	5903	9493	0.0300	0.93	1.13	1.05	0	0	0	0	
TF-ChIP-seq	H1-hESC	TCF12	None	wgEncodeHaibTfbsH1hescTcf12Pcr1xAlnRep2	12551613	248161	15231	9493	0.0674	0.81	1.28	1.51	0	0	0	0	
TF-ChIP-seq	H1-hESC	USF1	None	wgEncodeHaibTfbsH1hescUsf1Pcr1xAlnRep1	13056490	78821	22663	27920	0.1414	0.92	2.23	2.05	0	0	0	0	
TF-ChIP-seq	H1-hESC	USF1	None	wgEncodeHaibTfbsH1hescUsf1Pcr1xAlnRep2	14229340	47791	27090	27920	0.1677	0.95	2.26	2.41	0	0	0	0	
TF-ChIP-seq	H1-hESC	USF2	None	wgEncodeSydhTfbsH1hescUsf2IggrabAlnRep1	22496853	8415	5072	6364	0.0216	0.98	1.08	1.53	0	0	0	0	
TF-ChIP-seq	H1-hESC	USF2	None	wgEncodeSydhTfbsH1hescUsf2IggrabAlnRep2	27533196	12197	7322	6364	0.0290	0.96	1.09	1.61	0	0	0	0	
TF-ChIP-seq	H1-hESC	YY1	None	wgEncodeHaibTfbsH1hescYy1c20Pcr1xAlnRep1	24530272	2826	28589	25079	0.1406	0.88	1.37	1.64	0	0	0	0	
TF-ChIP-seq	H1-hESC	YY1	None	wgEncodeHaibTfbsH1hescYy1c20V0416102AlnRep2	12525346	218274	24293	25079	0.1654	0.88	1.59	1.76	0	0	0	0	
TF-ChIP-seq	HA-sp	CTCF	None	wgEncodeUwTfbsHaspCtcfStdAlnRep1	14968206	89816	48509		0.3021	0.89	3.61	1.6	0	0	0	0	
TF-ChIP-seq	HBMEC	CTCF	None	wgEncodeUwTfbsHbmecCtcfStdAlnRep1	23428973	67334	48545	48839	0.4749	0.77	5.38	2.18	0	0	0	0	
TF-ChIP-seq	HBMEC	CTCF	None	wgEncodeUwTfbsHbmecCtcfStdAlnRep2	15647982	59340	38678	48839	0.2313	0.91	2.55	1.62	0	0	0	0	
TF-ChIP-seq	HCFaa	CTCF	None	wgEncodeUwTfbsHcfaaCtcfStdAlnRep1	20244846	60357	48821	48611	0.3196	0.85	3.44	1.89	0	0	0	0	
TF-ChIP-seq	HCPEpiC	CTCF	None	wgEncodeUwTfbsHcpeCtcfStdAlnRep1	20606447	57316	47635	46494	0.5713	0.81	7.23	2.27	0	0	0	0	
TF-ChIP-seq	HCPEpiC	CTCF	None	wgEncodeUwTfbsHcpeCtcfStdAlnRep2	31968244	50357	47684	46494	0.2977	0.85	2.89	1.89	0	0	0	0	
TF-ChIP-seq	HCT-116	POL2	None	wgEncodeSydhTfbsHct116Pol2UcdAlnRep1	8226538	15979	13617	11404	0.1165	0.98	1.24	0.96	1	0	0	0	
TF-ChIP-seq	HCT-116	POL2	None	wgEncodeSydhTfbsHct116Pol2UcdAlnRep2	4888821	16107	10050	11404	0.0878	0.98	1.16	0.82	1	1	1	0	
TF-ChIP-seq	HCT-116	POL24H8	None	wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep1	16715338	49839	32605	24278	0.3934	0.76	1.80	1.44	0	0	0	0	
TF-ChIP-seq	HCT-116	POL24H8	None	wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep2	24709057	42181	33890	24278	0.3578	0.89	1.49	1.31	0	0	0	0	
TF-ChIP-seq	HCT-116	TCF4	None	wgEncodeSydhTfbsHct116Tcf4UcdAlnRep1	9735426	36877	23187	15500	0.2581	0.94	2.53	1.57	0	0	0	0	
TF-ChIP-seq	HCT-116	TCF4	None	wgEncodeSydhTfbsHct116Tcf4UcdAlnRep2	5338096	28631	9942	15500	0.1292	0.98	2.10	1.54	1	0	0	0	
TF-ChIP-seq	HEEpiC	CTCF	None	wgEncodeUwTfbsHeeCtcfStdAlnRep1	23118965	40071	41348	38659	0.2936	0.89	3.14	1.8	0	0	0	0	
TF-ChIP-seq	HEEpiC	CTCF	None	wgEncodeUwTfbsHeeCtcfStdAlnRep2	10628790	45603	38620	38659	0.2580	0.93	2.49	1.9	0	0	0	0	
TF-ChIP-seq	HEK293	CTCF	None	wgEncodeUwTfbsHek293CtcfStdAlnRep1	14758890	60243	51693	40137	0.5022	0.82	5.97	1.52	0	0	0	0	
TF-ChIP-seq	HEK293	CTCF	None	wgEncodeUwTfbsHek293CtcfStdAlnRep2	4494262	76419	27892	40137	0.2977	0.89	3.65	1.68	1	1	0	0	
TF-ChIP-seq	HEK293(b)	ELK4	None	wgEncodeSydhTfbsHek293bElk4UcdAlnRep1	16534512	1	1609	112	0.0101	0.8	1.02	0.67	0	0	1	1	
TF-ChIP-seq	HEK293(b)	ELK4	None	wgEncodeSydhTfbsHek293bElk4UcdAlnRep2	33330030	0	301	112	0.0035	0.94	1.02	0.92	0	1	1	0	
TF-ChIP-seq	HEK293(b)	KAP1	None	wgEncodeSydhTfbsHek293bKap1UcdAlnRep1	34893899	2	12143	1322	0.0554	0.93	1.04	1.53	0	0	0	0	
TF-ChIP-seq	HEK293(b)	KAP1	None	wgEncodeSydhTfbsHek293bKap1UcdAlnRep2	40468555	11	11361	1322	0.0539	0.97	1.05	1.8	0	0	0	0	
TF-ChIP-seq	HEK293(b)	POL2	None	wgEncodeSydhTfbsHek293bPol2StdAlnRep1	3764533	43812	14534	13167	0.2367	0.64	2.03	1.11	1	0	0	0	
TF-ChIP-seq	HEK293(b)	POL2	None	wgEncodeSydhTfbsHek293bPol2StdAlnRep2	1890282	127678	9968	12221	0.1797	0.77	1.83	1	1	1	0	0	
TF-ChIP-seq	HEK293(b)	POL2	None	wgEncodeSydhTfbsHek293bPol2StdAlnRep3	2126523	127883	13224	13167	0.2996	0.82	2.51	1.16	1	0	0	0	
TF-ChIP-seq	HeLa-S3	STAT1	IFNg30	wgEncodeSydhTfbsHelas3Stat1Ifng30StdAlnRep1	6754395	10294	5340	4882	0.0629	0.97	1.46	1.91	1	1	0	0	
TF-ChIP-seq	HeLa-S3	STAT1	IFNg30	wgEncodeSydhTfbsHelas3Stat1Ifng30StdAlnRep2	12526112	14245	11590	4882	0.1307	0.96	1.58	2.18	0	0	0	0	
TF-ChIP-seq	HeLa-S3	AP2ALPHA	None	wgEncodeSydhTfbsHelas3Ap2alphaStdAlnRep1	7089253	2211	9738	8621	0.0889	0.99	1.27	2.08	1	0	0	0	
TF-ChIP-seq	HeLa-S3	AP2ALPHA	None	wgEncodeSydhTfbsHelas3Ap2alphaStdAlnRep2	7725906	13426	16095	8621	0.1475	0.98	1.46	1.62	1	0	0	0	
TF-ChIP-seq	HeLa-S3	AP2GAMMA	None	wgEncodeSydhTfbsHelas3Ap2gammaStdAlnRep1	12118575	1347	8764	7977	0.0689	0.99	1.18	1.98	0	0	0	0	
TF-ChIP-seq	HeLa-S3	AP2GAMMA	None	wgEncodeSydhTfbsHelas3Ap2gammaStdAlnRep2	9707264	20537	23706	7977	0.2687	0.96	1.91	2.06	0	0	0	0	
TF-ChIP-seq	HeLa-S3	BAF155	None	wgEncodeSydhTfbsHelas3Baf155IggmusAlnRep1	11042537	0	9274	12368	0.0580	0.97	1.04	1.22	0	0	0	0	
TF-ChIP-seq	HeLa-S3	BAF155	None	wgEncodeSydhTfbsHelas3Baf155IggmusAlnRep2	10451160	0	4446	12368	0.0242	0.96	1.02	0.76	0	1	1	1	
