GCF_946900835.1_NSPWAT	347 Nitrospina watsonii 2023
GCF_014191495.1_ASM1419149v1	Nocardioides soli (DSM 105498 2020)
GCF_003194625.1_ASM319462v1	Nocardioides solisilvae (Ka25 2018)
GCF_003121585.1_ASM312158v1	Nocardioides speluncae (YIM ART13 2018)
GCF_014180715.1_ASM1418071v1	Nocardioides stalactiti (1.0914 2020)
GCF_900103935.1_IMG-taxon_2671180088_annotated_assembly	Nocardioides szechwanensis (CGMCC 1.11147 2016)
GCF_042657275.1_ASM4265727v1	Nocardioides taihuensis (CGMCC 4.7318 2024)
GCF_900112345.1_IMG-taxon_2617270786_annotated_assembly	Nocardioides terrae (CGMCC 1.7056 2016)
GCF_003047265.1_ASM304726v1	Nocardioides terrigena (KCTC 19217 2018)
GCF_031656915.1_ASM3165691v1	Nocardioides terrisoli (YR1 2023)
GCF_013410655.1_ASM1341065v1	Nocardioides thalensis (DSM 103833 2020)
GCF_011045035.1_ASM1104503v1	Nocardioides turkmenicus (KC13 2020)
GCF_040045055.1_ASM4004505v1	Nocardioides tweenelious (CN2-186 2024)
GCF_013466985.1_ASM1346698v1	Nocardioides ungokensis (LMG 28591 2020)
GCF_042655845.1_ASM4265584v1	Nocardioides vastitatis (CGMCC 4.7608 2024)
GCF_017916385.1_ASM1791638v1	Nocardioides xinjiangensis (SYSU D00514 2021)
GCF_004014875.1_ASM401487v1	Nocardioides yefusunii (HY056 2019)
GCF_010686755.1_ASM1068675v1	Nocardioides zeae (JCM 30728 2020)
GCF_042432345.1_ASM4243234v1	Nocardioides zeicaulis (CCM 8654 2024)
GCF_004137345.1_ASM413734v1	Nocardioides zhouii (HLT2-9 2019)
GCF_013410755.1_ASM1341075v1	Nocardiopsis aegyptia (DSM 44442 2020)
GCF_018316795.1_ASM1831679v1	Nocardiopsis akebiae (HDS12 2021)
GCF_000710955.1_ASM71095v1	Nocardiopsis alba (TP-A0876 2014)
GCF_001552695.1_ASM155269v1	Nocardiopsis alborubida (NBRC 13392 2016)
GCF_014203695.1_ASM1420369v1	Nocardiopsis algeriensis (CECT 8712 2020)
GCF_000341005.1_SOAPdenovo_v1.06	Nocardiopsis alkaliphila (YIM 80379 2013)
GCF_030268225.1_ASM3026822v1	Nocardiopsis ansamitocini (NBRC 112285 2023)
GCF_000341205.1_v1.06	Nocardiopsis baichengensis (YIM 90130 2013)
GCF_018316655.1_ASM1831665v1	Nocardiopsis changdeensis (Mg02 2021)
GCF_000341185.1_SOAPdenovo_v1.06	Nocardiopsis chromatogenes (YIM 90109 2013)
GCF_036327455.1_ASM3632745v1	Nocardiopsis codii (CT-R113 2024)
GCF_014200805.1_ASM1420080v1	Nocardiopsis composta (DSM 44551 2020)
GCF_014892575.1_ASM1489257v1	Nocardiopsis coralli (HNM0947 2020)
GCF_900638215.1_56553_A01	Nocardiopsis dassonvillei (NCTC10488 2018)
GCF_008638355.1_ASM863835v1	Nocardiopsis deserti (H13 2019)
GCF_027706725.1_ASM2770672v1	Nocardiopsis endophytica (RSe5-2 2023)
GCF_965344335.1_BGI_Neuc_01	Nocardiopsis eucommiae (bgisy065 BGISY000065 2025)
GCF_024134545.1_ASM2413454v1	Nocardiopsis exhalans (JCM11759T 2022)
GCF_900141985.1_IMG-taxon_2675903133_annotated_assembly	Nocardiopsis flavescens (CGMCC 4.5723 2016)
GCF_000341085.1_SOAPdenovo_v1.06	Nocardiopsis ganjiahuensis (DSM 45031 2013)
GCF_002263495.1_ASM226349v1	Nocardiopsis gilva (YIM 90087 2017)
GCF_000341245.1_SOAPdenovo_v1.06	Nocardiopsis halophila (DSM 44494 2013)
GCF_000341065.1_SOAPdenovo_v1.06	Nocardiopsis halotolerans (DSM 44410 2013)
GCF_000340965.1_SOAPdenovo_v1.06	Nocardiopsis kunsanensis (DSM 44524 2013)
GCF_031845465.1_ASM3184546v1	Nocardiopsis lambiniae (DSM 44743 2023)
GCF_001570765.1_ASM157076v1	Nocardiopsis listeri (NBRC 13360 2016)
GCF_000341125.1_SOAPdenovo_v1.06	Nocardiopsis lucentensis (DSM 44048 2013)
GCF_042653925.1_ASM4265392v1	Nocardiopsis mangrovi (CGMCC 4.7119 2024)
GCF_014201115.1_ASM1420111v1	Nocardiopsis metallicus (DSM 44598 2020)
GCF_014201195.1_ASM1420119v1	Nocardiopsis mwathae (DSM 46659 2020)
GCF_000341105.1_SOAPdenovo_v1.06	Nocardiopsis potens (DSM 45234 2013)
GCF_000341265.1_SOAPdenovo_1.06	Nocardiopsis prasina (DSM 43845 2013)
GCF_045446685.1_ASM4544668v1	Nocardiopsis protaetiae (NEAU-PB65 2024)
GCF_008638365.1_ASM863836v1	Nocardiopsis quinghaiensis (YIM 28A4 2019)
GCF_039530945.1_ASM3953094v1	Nocardiopsis rhodophaea (JCM 15313 2024)
GCF_000341025.1_SOAPdenovo_v1.06	Nocardiopsis salina (YIM 90010 2013)
GCF_042650565.1_ASM4265056v1	Nocardiopsis sediminis (TBRC 1826 2024)
GCF_001998325.1_ASM199832v1	Nocardiopsis sinuspersici (UTMC 00102 2017)
GCF_027706745.1_ASM2770674v1	Nocardiopsis suaedae (LSu2-4 2023)
GCF_965343085.1_BGI_Nsyn_01	Nocardiopsis synnemataformans (bgisy015 spongia 2025)
GCF_014651695.1_ASM1465169v1	Nocardiopsis terrae (KCTC 19431 2020)
GCF_001552555.1_ASM155255v1	Nocardiopsis trehalosi (NBRC 14201 2016)
GCF_042660575.1_ASM4266057v1	Nocardiopsis tropica (JCM 10877 2024)
GCF_000340985.1_genetic_mechanisms_of_environmental_adaptability	Nocardiopsis valliformis (DSM 45023 2013)
GCF_000341145.1_SOAPdenovo_v1.06	Nocardiopsis xinjiangensis (YIM 90004 2013)
GCF_000309385.1_ASM30938v1	Nodosilinea nodulosa (PCC 7104 2012)
GCF_034931085.1_ASM3493108v1	Nodularia harveyana (UHCC-0300 2024)
GCF_022376295.1_ASM2237629v1	Nodularia sphaerocarpa (UHCC 0038 2022)
GCF_003054475.1_ASM305447v1	Nodularia spumigena (UHCC 0039 2018)
GCF_002994045.1_ASM299404v1	Nonlabens agnitus (JCM 17109 2018)
GCF_015356755.1_ASM1535675v1	Nonlabens antarcticus (JCM 14068 2020)
GCF_002954765.1_ASM295476v1	Nonlabens arenilitoris (KCTC 32109 2018)
GCF_000332115.1_ASM33211v1	Nonlabens dokdonensis (DSW-6 2013)
GCF_000831385.1_ASM83138v1	Nonlabens marinus (S1-08 2014)
GCF_003966335.1_ASM396633v1	Nonlabens ponticola (MJ115 2018)
GCF_002117125.1_ASM211712v1	Nonlabens spongiae (JCM 13191 2017)
GCF_002117085.1_ASM211708v1	Nonlabens tegetincola (NBRC 100970 2017)
GCF_032922765.1_ASM3292276v1	Nonlabens ulvanivorans (CI.11.F.A3 2023)
GCF_003865345.1_ASM386534v1	Nonlabens xiamenensis (1Q3 2018)
GCF_002934445.1_ASM293444v1	Nonlabens xylanidelens (DSM 16809 2018)
GCF_014873535.1_ASM1487353v1	Nonomuraea africana (DSM 43748 2020)
GCF_014873145.1_ASM1487314v1	Nonomuraea angiospora (DSM 43173 2020)
GCF_039536965.1_ASM3953696v1	Nonomuraea antimicrobica (JCM 16904 2024)
GCF_013283785.1_ASM1328378v1	Nonomuraea antri (NN258 2020)
GCF_003236395.1_ASM323639v1	Nonomuraea aridisoli (KC333 2018)
GCF_020215705.1_ASM2021570v1	Nonomuraea aurantiaca (NEAU-L178 2021)
GCF_039529455.1_ASM3952945v1	Nonomuraea bangladeshensis (JCM 13930 2024)
GCF_005893125.1_ASM589312v1	Nonomuraea basaltis (160415 2019)
GCF_000725485.1_Doro.v1.0	Nonomuraea candida (NRRL B-24552 2014)
GCF_014646355.1_ASM1464635v1	Nonomuraea cavernae (CGMCC 4.7368 2020)
GCF_019396325.1_ASM1939632v1	Nonomuraea ceibae (KCTC 39826 2021)
GCF_012034275.1_ASM1203427v1	Nonomuraea composti (FMUSA5-5 2020)
GCF_027620315.1_ASM2762031v1	Nonomuraea corallina (MCN248 2023)
GCF_019397265.1_ASM1939726v1	Nonomuraea coxensis (DSM 45129 2021)
GCF_015645445.1_ASM1564544v1	Nonomuraea cypriaca (K274 2020)
GCF_004348685.1_ASM434868v1	Nonomuraea deserti (KC310 2019)
GCF_004349015.1_ASM434901v1	Nonomuraea diastatica (KC712 2019)
GCF_014195505.1_ASM1419550v1	Nonomuraea dietziae (DSM 44320 2020)
GCF_014203235.1_ASM1420323v1	Nonomuraea endophytica (DSM 45385 2020)
GCF_042751225.1_Nonomuraea_fastidiosa_KACC16795	Nonomuraea fastidiosa (KACC 16795 2024)
GCF_039540635.1_ASM3954063v1	Nonomuraea ferruginea (JCM 3283 2024)
GCF_035917475.1_ASM3591747v1	Nonomuraea fuscirosea (NBC 01801 2024)
GCF_020215645.1_ASM2021564v1	Nonomuraea gerenzanensis (L70 2021)
GCF_035920485.1_ASM3592048v1	Nonomuraea glycinis (NBC 01726 2024)
GCF_019396345.1_ASM1939634v1	Nonomuraea guangzhouensis (CGMCC 4.7101 2021)
GCF_019396385.1_ASM1939638v1	Nonomuraea harbinensis (CGMCC 4.7106 2021)
GCF_039535785.1_ASM3953578v1	Nonomuraea helvata (JCM 3143 2024)
GCF_002850745.1_ASM285074v1	Nonomuraea indica (DRQ-2 2018)
GCF_042656245.1_ASM4265624v1	Nonomuraea insulae (CGMCC 4.7338 2024)
GCF_014204795.1_ASM1420479v1	Nonomuraea jabiensis (DSM 45507 2020)
GCF_900099965.1_IMG-taxon_2675903065_annotated_assembly	Nonomuraea jiangxiensis (CGMCC 4.6533 2016)
GCF_003313395.1_ASM331339v1	Nonomuraea lactucae (NEAU-YG30 2018)
GCF_039525605.1_ASM3952560v1	Nonomuraea longicatena (JCM 11136 2024)
GCF_004348345.1_ASM434834v1	Nonomuraea longispora (KC201 2019)
GCF_039529435.1_ASM3952943v1	Nonomuraea maheshkhaliensis (JCM 13929 2024)
GCF_042681425.1_ASM4268142v1	Nonomuraea mangrovi (CGMCC 4.7425 2024)
GCF_900100395.1_IMG-taxon_2675903066_annotated_assembly	Nonomuraea maritima (CGMCC 4.5681 2016)
GCF_043197025.1_ASM4319702v1	Nonomuraea marmarensis (M3C6 2024)
GCF_004352805.1_ASM435280v1	Nonomuraea mesophila (6K102 2019)
GCF_039531895.1_ASM3953189v1	Nonomuraea monospora (JCM 16114 2024)
GCF_013363975.1_ASM1336397v1	Nonomuraea montanisoli (SMC 257 2020)
GCF_014207745.1_ASM1420774v1	Nonomuraea muscovyensis (DSM 45913 2020)
GCF_009497075.1_ASM949707v1	Nonomuraea phyllanthi (WYY166 2019)
GCF_004011505.1_ASM401150v1	Nonomuraea polychroma (DSM 43925 2019)
GCF_042650645.1_ASM4265064v1	Nonomuraea purpurea (TBRC 1276 2024)
GCF_001417755.1_ASM141775v1	Nonomuraea pusilla (NBRC 110462 2015)
GCF_039533245.1_ASM3953324v1	Nonomuraea recticatena (JCM 6835 2024)
GCF_019396405.1_ASM1939640v1	Nonomuraea rhizosphaerae (CGMCC 4.7431 2021)
GCF_013363995.1_ASM1336399v1	Nonomuraea rhodomycinica (TBRC6557 2020)
GCF_039539705.1_ASM3953970v1	Nonomuraea rosea (JCM 17326 2024)
GCF_039535395.1_ASM3953539v1	Nonomuraea roseola (JCM 3323 2024)
GCF_024172185.1_ASM2417218v1	Nonomuraea roseoviolacea subsp. carminata (DSM 44170 2022)
GCF_014207985.1_ASM1420798v1	Nonomuraea rubra (DSM 43768 2020)
GCF_042428605.1_ASM4242860v1	Nonomuraea salmonea (JCM 3324 2024)
GCF_018531495.1_ASM1853149v1	Nonomuraea sediminis (H16431 2021)
GCF_900108335.1_IMG-taxon_2675903140_annotated_assembly	Nonomuraea solani (CGMCC 4.7037 2016)
GCF_013761175.1_ASM1376117v1	Nonomuraea soli (DSM 45533 2020)
GCF_014648435.1_ASM1464843v1	Nonomuraea spiralis (JCM 3286 2020)
GCF_044465245.1_ASM4446524v1	Nonomuraea terrae (NPDC049724 2024)
GCF_024172165.1_ASM2417216v1	Nonomuraea thailandensis (DSM 46694 2022)
GCF_005889735.1_ASM588973v1	Nonomuraea turkmeniaca (DSM 43926 2019)
GCF_009760925.1_ASM976092v1	Nonomuraea typhae (p1410 2019)
GCF_900111685.1_IMG-taxon_2675903060_annotated_assembly	Nonomuraea wenchangensis (CGMCC 4.5598 2016)
GCF_005889725.1_ASM588972v1	Nonomuraea zeae (DSM 100528 2019)
GCF_019357495.1_ASM1935749v1	Nosocomiicoccus ampullae (DSM 19163 2021)
GCF_000438455.1_Nosocomiicoccus_NP2_v1	Nosocomiicoccus massiliensis (NP2 2013)
GCF_000196515.1_ASM19651v1	Nostoc azollae cyanobacteria (0708 2010)
GCF_003113895.1_ASM311389v1	Nostoc commune (NIES-4072 2018)
GCF_002897135.1_NcycadaeWK-1_v1	Nostoc cycadae (WK-1 2017)
GCF_014023275.1_ASM1402327v1	Nostoc edaphicum (CCNP1411 2020)
GCF_020829495.1_ASM2082949v1	Nostoc favosum CHAB5714 (CHAB 5714 2021)
GCF_002813575.1_ASM281357v1	Nostoc flagelliforme (CCNUN1 2017)
GCF_014698505.1_ASM1469850v1	Nostoc foliaceum (FACHB-393 2020)
GCF_002608105.1_ASM260810v1	Nostoc linckia (z6 2017)
GCF_020829645.1_ASM2082964v1	Nostoc mirabile CHAB5784 (CHAB 5784 2021)
GCF_014698835.1_ASM1469883v1	Nostoc paludosum (FACHB-159 2020)
GCF_014696625.1_ASM1469662v1	Nostoc parmelioides (FACHB-3921 2020)
GCF_001298445.1_ASM129844v1	Nostoc piscinale (CENA21 2015)
GCF_003443655.1_ASM344365v1	Nostoc sphaeroides (Kutzing En 2018)
GCF_014698475.1_ASM1469847v1	Nostoc spongiaeforme (FACHB-130 2020)
GCF_001050535.1_ASM105053v1	Nostocoides australiense (Ben110 2014)
GCF_001046855.1_ASM104685v1	Nostocoides japonicum (T1-X7 2014)
GCF_001046875.1_ASM104687v1	Nostocoides jenkinsii (Ben 74 2014)
GCF_039531165.1_ASM3953116v1	Nostocoides vanveenii (JCM 15591 2024)
GCF_039531185.1_ASM3953118v1	Nostocoides veronense (JCM 15592 2024)
GCF_002238045.1_ASM223804v1	Notoacmeibacter marinus (XMTR2A4 2017)
GCF_003668555.1_ASM366855v1	Notoacmeibacter ruber (M2BS9Y-3-1 2018)
GCF_003311635.1_ASM331163v1	Novacetimonas cocois (WE7 2018)
GCF_014843995.1_ASM1484399v1	Novacetimonas hansenii (C110 2020)
GCF_002906255.1_ASM290625v1	Novacetimonas maltaceti (LMG 1529 2018)
GCF_003207955.1_ASM320795v1	Novacetimonas pomaceti (T5K1 2018)
GCF_002005165.1_ASM200516v1	Novibacillus thermophilus (SG-1 2017)
GCF_008929045.1_ASM892904v1	Noviherbaspirillum aerium (122213-3 2019)
GCF_035916955.1_ASM3591695v1	Noviherbaspirillum album (CPCC 100848 2024)
GCF_019656455.1_ASM1965645v1	Noviherbaspirillum aridicola (NCCP-691 2021)
GCF_000818395.1_ASM81839v1	Noviherbaspirillum autotrophicum (TSA66 2015)
GCF_003590875.1_ASM359087v1	Noviherbaspirillum cavernae (K2R10-39 2018)
GCF_002211445.1_ASM221144v1	Noviherbaspirillum denitrificans (TSA40 2017)
GCF_010974945.1_ASM1097494v1	Noviherbaspirillum galbum (17J57-3 2020)
GCF_900188095.1_IMG-taxon_2706794914_annotated_assembly	Noviherbaspirillum humi (U15 2017)
GCF_015352985.1_ASM1535298v1	Noviherbaspirillum malthae (CC-AFH3 2020)
GCF_000312045.1_ASM31204v1	Noviherbaspirillum massiliense (JC206 2012)
GCF_016632335.1_ASM1663233v1	Noviherbaspirillum pedocola (DKR-6 2021)
GCF_003591035.1_ASM359103v1	Noviherbaspirillum saxi (K1R23-30 2018)
GCF_003590835.1_ASM359083v1	Noviherbaspirillum sedimenti (K1S02-23 2018)
GCF_015352955.1_ASM1535295v1	Noviherbaspirillum soli (SUEMI10 2020)
GCF_900182955.1_IMG-taxon_2706794918_annotated_assembly	Noviherbaspirillum suwonense (DSM 26001 2023)
GCF_018406605.1_ASM1840660v1	Noviluteimonas caseinilytica (JCM32879 2021)
GCF_009740395.1_ASM974039v1	Noviluteimonas gilva (HX-5-24 2019)
GCF_020866925.1_ASM2086692v1	Noviluteimonas lactosilytica (A6 2021)
GCF_019802285.1_ASM1980228v1	Novilysobacter antarcticus (GW1-59 2021)
GCF_015209745.1_ASM1520974v1	Novilysobacter avium (H23M41 2020)
GCF_015209725.1_ASM1520972v1	Novilysobacter ciconiae (H21R20 2020)
GCF_036663935.1_ASM3666393v1	Novilysobacter erysipheiresistens (RS-LYSO-3 2024)
GCF_907164845.1_Lysobacter_CECT30171	Novilysobacter luteus (CECT 30171 2021)
GCF_020026895.1_ASM2002689v1	Novilysobacter selenitireducens (13A 2021)
GCF_003112435.1_ASM311243v1	Novimethylophilus kurashikiensis (La2-4 2018)
GCF_007860135.1_ASM786013v1	Novipirellula artificiosorum (Poly41 2019)
GCF_007860185.1_ASM786018v1	Novipirellula aureliae (Q31b 2019)
GCF_039545035.1_ASM3954503v1	Novipirellula caenicola (NBRC 110016 2024)
GCF_007860095.1_ASM786009v1	Novipirellula galeiformis (Pla52o 2019)
GCF_007859835.1_ASM785983v1	Novipirellula herctigrandis (CA13 2019)
GCF_039541335.1_ASM3954133v1	Novipirellula rosea (JCM 17759 2024)
GCF_000381985.1_ASM38198v1	Novispirillum itersonii subsp. itersonii (ATCC 12639 2013)
GCF_018866245.1_ASM1886624v1	Novisyntrophococcus fermenticellae (JN500902 2021)
GCF_000429005.1_ASM42900v1	Novosphingobium acidiphilum (DSM 19966 2013)
GCF_014230305.1_ASM1423030v1	Novosphingobium aerophilum (4Y4 2020)
GCF_037482895.1_ASM3748289v1	Novosphingobium anseongense (PS1R-30 2024)
GCF_037572715.1_ASM3757271v1	Novosphingobium aquae (AS3R-12 2024)
GCF_009746585.1_ASM974658v1	Novosphingobium aquimarinum (M24A2M 2019)
GCF_042434435.1_ASM4243443v1	Novosphingobium aquiterrae (NCAIM B.02537 2024)
GCF_000013325.1_ASM1332v1	Novosphingobium aromaticivorans (DSM 12444 2006)
GCF_014652615.1_ASM1465261v1	Novosphingobium arvoryzae (KCTC 32422 2020)
GCF_015865035.1_ASM1586503v1	Novosphingobium aureum (YJ-S2-02 2020)
GCF_001046635.1_N.barLL02	Novosphingobium barchaimii (LL02 2015)
GCF_022832375.1_ASM2283237v1	Novosphingobium beihaiensis (B2638 2022)
GCF_042646485.1_ASM4264648v1	Novosphingobium bradum (KCTC 42984 2024)
GCF_001598375.1_ASM159837v1	Novosphingobium capsulatum (NBRC 12533 2016)
GCF_014204535.1_ASM1420453v1	Novosphingobium chloroacetimidivorans (S00245 2020)
GCF_026420865.1_ASM2642086v1	Novosphingobium clariflavum (164 2022)
GCF_014652555.1_ASM1465255v1	Novosphingobium colocasiae (KCTC 32255 2020)
GCF_029436685.1_ASM2943668v1	Novosphingobium cyanobacteriorum (HBC54 2023)
GCF_018417475.1_ASM1841747v1	Novosphingobium decolorationis (502str22 2021)
GCF_014640675.1_ASM1464067v1	Novosphingobium endophyticum (CGMCC 1.15095 2020)
GCF_014230315.1_ASM1423031v1	Novosphingobium flavum (NBRC 111647 2020)
GCF_014196615.1_ASM1419661v1	Novosphingobium fluoreni (DSM 27568 2020)
GCF_001519075.1_ASM151907v1	Novosphingobium fuchskuhlense (FNE08-7 2016)
GCF_007954425.1_ASM795442v1	Novosphingobium ginsenosidimutans (FW-6 2019)
GCF_050433305.1_ASM5043330v1	Novosphingobium gossypii (DSM 29615 2025)
GCF_002896965.1_ASM289696v1	Novosphingobium guangzhouense (SA925 2018)
GCF_014196055.1_ASM1419605v1	Novosphingobium hassiacum (DSM 14552 2020)
GCF_020179475.1_ASM2017947v1	Novosphingobium huizhouense (c7 2021)
GCF_028607105.1_ASM2860710v1	Novosphingobium humi (KACC 19094 2023)
GCF_014645195.1_ASM1464519v1	Novosphingobium indicum (CGMCC 1.6784 2020)
GCF_015694345.1_ASM1569434v1	Novosphingobium jiangmenense (1Y9A 2020)
GCF_021227995.1_ASM2122799v1	Novosphingobium kaempferiae (Sx8-5 2021)
GCF_040534015.1_ASM4053401v1	Novosphingobium kalidii (RD2P27 2024)
GCF_002813245.1_ASM281324v1	Novosphingobium kunmingense (CGMCC 1.12274 2017)
GCF_001590965.1_ASM159096v1	Novosphingobium lentum (NBRC 107847 2016)
GCF_000445125.1_ASM44512v1	Novosphingobium lindaniclasticum (LE124 2013)
GCF_000802225.1_ASM80222v1	Novosphingobium malaysiense (MUSC 273 2014)
GCF_014640055.1_ASM1464005v1	Novosphingobium marinum (CGMCC 1.12918 2020)
GCF_900168325.1_IMG-taxon_2706795032_annotated_assembly	Novosphingobium mathurense (SM117 2017)
GCF_003171715.1_ASM317171v1	Novosphingobium meiothermophilum (SYSU G00007 2018)
GCF_001590985.1_ASM159098v1	Novosphingobium naphthalenivorans (NBRC 102051 2016)
GCF_000192575.1_NovNit_2.0	Novosphingobium nitrogenifigens (DSM 19370 2011)
GCF_037076535.1_ASM3707653v1	Novosphingobium olei (DW067 2024)
GCF_022832435.1_ASM2283243v1	Novosphingobium organovorum (B1949 2022)
GCF_009909235.1_ASM990923v1	Novosphingobium ovatum (FSY-8 2020)
GCF_900182875.1_IMG-taxon_2706794921_annotated_assembly	Novosphingobium panipatense (SM16 2023)
GCF_000767465.1_ASM76746v1	Novosphingobium pentaromativorans (US6-1 2014)
GCF_020179425.1_ASM2017942v1	Novosphingobium percolationis (c1 2021)
GCF_014230355.1_ASM1423035v1	Novosphingobium piscinae (KCTC 42194 2020)
GCF_033242265.1_ASM3324226v1	Novosphingobium pituita (IK01 2023)
GCF_014652855.1_ASM1465285v1	Novosphingobium pokkalii (KCTC 42224 2020)
GCF_018491765.1_ASM1849176v1	Novosphingobium profundi (F72 2021)
GCF_001742225.1_ASM174222v1	Novosphingobium resinovorum (SA1 2016)
GCF_050920675.1_ASM5092067v1	Novosphingobium rhizosphaerae (LY 2025)
GCF_040813635.1_ASM4081363v1	Novosphingobium rhizovicinum (M1R2S20 2024)
GCF_001598555.1_ASM159855v1	Novosphingobium rosa (NBRC 15208 2016)
GCF_014196525.1_ASM1419652v1	Novosphingobium sediminicola (DSM 27057 2020)
GCF_007991615.1_ASM799161v1	Novosphingobium sediminis (NBRC 106119 2019)
GCF_009856825.1_ASM985682v1	Novosphingobium silvae (FGD1 2020)
GCF_042432915.1_ASM4243291v1	Novosphingobium soli (CCM 7706 2024)
GCF_001598575.1_ASM159857v1	Novosphingobium subterraneum (NBRC 16086 2016)
GCF_014199635.1_ASM1419963v1	Novosphingobium taihuense (DSM 17507 2020)
GCF_042652045.1_ASM4265204v1	Novosphingobium tardum (CGMCC 1.12989 2024)
GCF_017163935.1_ASM1716393v1	Novosphingobium terrae (GeG2 2021)
GCF_004005905.1_ASM400590v1	Novosphingobium umbonatum (FSY-9 2019)
GCF_000420305.1_ASM42030v1	Novosphingopyxis baekryungensis (DSM 16222 2013)
GCF_014334095.1_ASM1433409v1	Novosphingopyxis iocasae (PB63 2020)
GCF_003313335.1_ASM331333v1	Nubsella zeaxanthinifaciens (TDMA-5 2018)
GCF_016464385.1_ASM1646438v1	Nucisporomicrobium flavum (NEAU-24 2021)
GCF_001375555.1_Numidum_massiliensis	Numidum massiliense (mt3 2015)
GCF_000980985.1_ASM98098v1	Obesumbacterium proteus (LE8 2015)
GCF_025264625.1_ASM2526462v1	Occallatibacter riparius (DSM 25168 2022)
GCF_003131205.1_ASM313120v1	Occallatibacter savannae (AB23 2018)
GCF_902703175.1_F300	Occultella aeris (CIP 111667 2019)
GCF_004353825.1_ASM435382v1	Occultella glacieicola (T3246-1 2019)
GCF_019947135.1_ASM1994713v1	Occultella gossypii (N2-46 2021)
GCF_009708215.1_ASM970821v1	Occultella kanbiaonis (HY044 2019)
GCF_900172325.1_O.hippocampi_CECT7691_Spades_Prokka	Oceanibacterium hippocampi (CECT 7691 2017)
GCF_003633955.1_ASM363395v1	Oceanibaculum indicum (USBA 36 2018)
GCF_002148795.1_ASM214879v1	Oceanibaculum nanhaiense (L54-1-50 2017)
GCF_001618175.1_ASM161817v1	Oceanibaculum pacificum (MCCC 1A02656 2016)
GCF_003265325.1_ASM326532v1	Oceanibium sediminis (O448 2018)
GCF_000420265.1_ASM42026v1	Oceanicaulis alexandrii (DSM 11625 2013)
GCF_900111545.1_IMG-taxon_2615840710_annotated_assembly	Oceanicella actignis (DSM 24423 2016)
GCF_002117105.1_ASM211710v1	Oceanicoccus sagamiensis (NBRC 107125 2017)
GCF_000153305.1_ASM15330v1	Oceanicola granulosus (HTCC2516 2006)
GCF_007625075.1_ASM762507v1	Oceanidesulfovibrio indonesiensis (P37SLT 2019)
GCF_013085545.1_ASM1308554v1	Oceanidesulfovibrio marinus (CS1 2020)
GCF_016595575.1_ASM1659557v1	Oceaniferula flava (5K15 2021)
GCF_013391475.1_ASM1339147v1	Oceaniferula marina (N1E253 2020)
GCF_042849255.1_ASM4284925v1	Oceaniferula spumae (NT6N 2025)
GCF_003057885.1_ASM305788v1	Oceaniglobus ichthyenteri (YLY08 2018)
GCF_002751875.1_ASM275187v1	Oceaniglobus indicus (1-19b 2017)
GCF_002869745.1_ASM286974v1	Oceaniglobus roseus (XY-R6 2018)
GCF_020529025.1_ASM2052902v1	Oceaniglobus trochenteri (G4 2021)
GCF_003337215.1_ASM333721v1	Oceanihabitans sediminis (S9-10 2018)
GCF_004365405.1_ASM436540v1	Oceanimonas baumannii (DSM 15594 2019)
GCF_002242685.1_ASM224268v1	Oceanimonas doudoroffii (ATCC 27123 2017)
GCF_003049725.1_ASM304972v1	Oceanimonas marisflavi (102-Na3 2018)
GCF_030849025.1_ASM3084902v1	Oceanimonas pelagia (NTOU-MSR1 2023)
GCF_000381965.1_ASM38196v1	Oceanimonas smirnovii (ATCC BAA-899 2013)
GCF_000299575.1_ASM29957v1	Oceaniovalibus guishaninsula (JLT2003 2012)
GCF_010500615.1_ASM1050061v1	Oceanipulchritudo coccoides (CK1056 2020)
GCF_965223445.1_pyGerJepo1.Oceaniradius_stylonematis_1.1	Oceaniradius stylonematis (f4749284-7ece-4f1a-bfa4-5d499b9e3234 2025)
GCF_023684385.1_ASM2368438v1	Oceanirhabdus seepicola (ZWT 2022)
GCF_002936955.1_ASM293695v1	Oceanisphaera arctica (V1-41 2018)
GCF_002157875.1_ASM215787v1	Oceanisphaera avium (AMac2203 2017)
GCF_016907015.1_ASM1690701v1	Oceanisphaera litoralis (DSM 15406 2021)
GCF_014643915.1_ASM1464391v1	Oceanisphaera marina (CGMCC 1.15923 2020)
GCF_042676125.1_ASM4267612v1	Oceanisphaera ostreae (CCUG 60525 2024)
GCF_017498065.1_ASM1749806v1	Oceanisphaera pacifica (DM8 2021)
GCF_002157895.1_ASM215789v1	Oceanisphaera profunda (SM1222 2017)
GCF_001870485.1_ASM187048v1	Oceanisphaera psychrotolerans (LAM-WHM-ZC 2016)
GCF_039539745.1_ASM3953974v1	Oceanisphaera sediminis (JCM 17329 2024)
GCF_046521305.1_ASM4652130v1	Oceanisphaera submarina (KMM 10153 2025)
GCF_008329965.1_ASM832996v1	Oceanispirochaeta crateris (K2 2019)
GCF_014837105.1_ASM1483710v1	Oceanitalea stevensii (Sa1BUA1 2020)
GCF_007991015.1_ASM799101v1	Oceanithermus desulfurans (NBRC 100063 2019)
GCF_000183745.1_ASM18374v1	Oceanithermus profundus (DSM 14977 2010)
GCF_902505095.1_OMES3154	Oceanivirga miroungae (ES3154-GLU 2019)
GCF_009733705.1_ASM973370v1	Oceanivirga salmonicida (D4A 2019)
